review_id,split,sentiment,review
5132_1,test,neg,"My friend and I rented this movie for 3.99 at blockbuster. If I'd have known how absolutely horrible this movie was going to be, I wouldn't have paid a cent. I had no warning for this bs. The acting can't even be called acting, the inevitable sex scene is awkward, and you can tell that both girls feel completely uncomfortable doing it, and the male villain... god, who couldn't tell he was going to attack emily And the musical cues... my lord. This movie makes me want to cry. Never rent this. In fact, if you happen to look upon it, gauge out your eyeballs. This movie isn't of God- it's from hell. I'm just gonna take the last couple lines to write blah blah blah shiz cause I really don't want to continue on with this review."
6826_7,test,pos,"I cannot understand the need to jump backwards and forwards to scene set, and pad out the plot. Showing that someone has a skill right before they use it, I believe, is offending our intelligence. It's starting to feel a little contrived, and as though they are making up for being so vague for the first three series. A little disappointing this episode.<br /><br />Furthermore, using past quirks, like Locke's ability to know when a storm is ending, is frankly insulting... are we supposed to ooh and arr, or laugh at the softer side of Locke?<br /><br />This episode was all over the place."
4184_8,train,pos,"Some war movies succeed where others do not, and that can be judged from a variety of angles. The humanistic angle, one where you can feel the raw emotions (the terror of being under attack, the camaraderie amongst soldiers, the arduous trials people face inside them when in combat, etc..) are always movies I find compelling. Movies like Das Boot and A Midnight Clear are but two examples of movies that you sense a connection to the characters in the film.<br /><br />This film succeeds on that level as well. It speaks of ""The Highest Honor"" and that honor is doing the right thing. These 23 soldiers did the right thing, they had honor and it is recognized in a way wholly incompatible with Western thought, but it is, to the very end, a true story of honor. Unforgettable movie. Based on the true story."
2510_4,train,neg,"This TV film tells the story of extrovert Frannie suddenly returning to Silk Hope to visit friends and family, but unaware of her mother's death. Her sister runs the family home, but is intending to sell it and move away with her new husband. Frannie strongly objects to the idea, and vows to keep the family heirloom as it were, by getting a job and maintaining responsibility.<br /><br />In comes handsome Ruben and the two soon fall in love (as you do), and it's from this point that I sort of lost interest....<br /><br />There is more to Farrah Fawcett than just the blonde hair and looks, she can portray a character extremely convincingly when she puts her mind to it - and it is certainly proved here as well as some of her previous efforts like Extremities and Small Sacrificies - a great performance from the legendary Charlie's Angel.<br /><br />Silk Hope is the type of film that never shies away from its cheap and cheerful TV image, and you know there was a limit to the budget, but it's not the worst film ever made. The positive aspects are there; you just have to find them."
5280_4,train,neg,"Chris, an adopted son of a moral family, a loser whom works at the school newspaper with Kate (Christine Lakin from of the awful sugary ""Step by Step"" show of the now thankfully defunct ABC's TGIF line-up), finds out that he's just inherited a porn empire from his biological parents. He loses sight of what true friendship and love is and blah blah some other nonsense. He also has to contend with an Uncle who wants control of the family business and a shifty lawyer (arn't they are?) A slightly below average teen comedy that steals from better teen comedies (the opening alone is HIGHLY American Pie-esquire), bops you on the head with the moral every chance it gets, and wastes the only star talent it has (Wayne Newton, Lin Shaye, and if i'm really stretching the star word, Martin Starr of ""Freaks and Geeks"", and Justin Berfield of ""Malcolm in the Middle""). It's not bad exactly, but it's far from good.<br /><br />Eye Candy: a few extras get topless <br /><br />My Grade: C- <br /><br />Where I saw it: Starz on Demand (available until September 29th)"
12464_8,test,pos,"This is both an entertaining and a touching version of the classic tale, also quite intelligent, not of the 'Me Tarzan, You Jane' school at all.<br /><br />It's the famous story of a child reared to manhood in the jungle by apes. A titled British couple (the wife pregnant) is stranded in the African wilds after a shipwreck. After the parents' deaths, the baby is raised in the jungle by apes. Twenty years later, this young man (i.e. Tarzan) rescues a wounded Belgian explorer, nursing him back to health. The Belgian discovers evidence that his rescuer is the young Lord Greystoke and returns him to his rightful estate in Scotland, where he must adjust to civilized society. <br /><br />The movie is sort of divided into two parts. In the first half, we see Tarzan in his jungle environment. Not being an expert, I am unaware as to the realism of its depiction of ape community life, but it is certainly entertaining. For me, the more moving section is the second half, when Tarzan must meet his real family, develop language skills, and adjust to aristocratic British society, all the while wooing Jane (Andie MacDowell). He is portrayed as a 'noble savage', whether in the wild or in elegant Edwardian parlors. By contrast, the upper crust is depicted as often far more barbaric than the jungle Tarzan left.<br /><br />Christopher Lambert is fantastic in his sympathetic portrayal of Tarzan in both the jungle and civilized environments. He conveys a real sense of his confusion and conflict, torn as he is between the two very different worlds, his original ape family and his new human one. Sir Ralph Richardson, one of the old British legends, is brilliant as always in the role of Tarzan's grandfather, the Sixth Earl of Greystoke. <br /><br />The film focuses more on Tarzan's struggles in adapting to civilization and his inner conflict than on his jungle exploits. This unusual take on the old classic makes it both the typical dramatic adventure but also, above all, a moving personal story. I wasn't surprised to note here that its director is the same individual, Hugh Hudson, who also directed Chariots of Fire, another brilliant movie."
9874_7,test,pos,"For some reason, I always enjoy movies that people hate, when I really don't think they're that bad - and this is one of those films. In the case of this movie, I think it is way too over-criticized, I really isn't that bad of a film at all. In fact, I think this is one of the better sequels. ""Halloween: The Curse of Michael Myers"" begins on the night before Halloween, where Michael brutally murders Jamie Lloyd (who was taken captive by the ""Man In Black"" in part 5) after she gives birth to his baby. We are then introduced to the Strode family, who is now coincidentally living in the old Myers house (which seems to change in each film). Kara and her son Danny are the main characters, along with Tommy Doyle, the now adult boy who survived the original killings. They must fight together to save Jamie's baby from an evil cult that takes care of Michael, while Michael himself is driven to kill by an old Celtic ritual where he must sacrifice an entire family in Haddonfield.<br /><br />This is surely one of the best sequels in the series, in my opinion anyway, and I can't understand all of the hate it has gotten. It had some nice suspense, an interesting plot (but sometimes confusing, I'll admit), some scary moments here and there, and plenty of gore and knife slashings to appease all of you gorehounds. Not all of the acting wasn't particularly great, but it was convincing enough for me. Marianne Hagan is the leading lady and she is very likable. Paul Rudd plays a grown-up Tommy Doyle, and is also very talented and plays his part nicely. The rest of the supporting cast (besides the brilliant Donald Pleasance) isn't much to praise, but it wasn't too bad either, all things considered. I'm still not sure if giving an explanation for why Michael kills was completely necessary, but it turned out to be okay in the end and I wasn't upset with the way they tied everything together. The open-ended conclusion was also kind of eerie, but could have been something more. <br /><br />I have also seen the infamous ""Producer's Cut"" of this film, the original cut of it, and I think that in some respects, it is better. It further explains the Thorn curse that drives Michael and has some extra scenes that really helped support the film, plus the ending was a lot better in my opinion. It felt more natural than the conclusion that we're given in the studio cut of the film. I wish that Dimension would release this alternate version of the film, because I personally think it is better. The chances of that are very slim though.<br /><br />Overall, ""Halloween: The Curse of Michael Myers"" is a very good sequel and will please all of the fans of the series. This movie isn't the best of all horror movies, but it's definitely worth renting if you want to see Michael do his thing. Just don't expect brilliance, and you'll enjoy it. 7/10."
8500_7,train,pos,"Surprised to see the rather low score for this movie. Just saw this film for the first time in 10 years, and was reminded why I like it.<br /><br />Come back with me, children, to a time when Michael Keaton was a straight-up comedy guy, and you might find some joy in this film. It's a gentle comedy -- the kind Ron Howard specializes in -- but if that's your thing, you should check this out. Keaton's low-key charm is just right for this project.<br /><br />""Gung Ho"" is a bit dated, because it takes places in the last stage of the pre-global economy world, when it still mattered what country a business was based in. That said, it delivers laughs as well as a lesson on how people can learn from each other, to great benefit.<br /><br />You could watch this film and enjoy it without remembering one scene in particular you really liked, but that's because the whole movie provides a slow but constant stream of laughs. It's like an I.V. drip. And I mean that in a good way."
7551_1,test,neg,"Possibly the worst film within the genre in existence. It was announced as a comedy, but is simply tragically pathetic. I don't think anyone could have achieved anything more terrible and irritating if they were specifically requested to. It is toilet humour at its very poorest, I would avoid even watching the trailer. I only went to see it because it was announced that if you like Monty Python, you are bound to love this. Whoever wrote that was either biased or seriously deranged. I am still bewildered how one can honestly believe such a statement. Rarely do I leave the cinema, really it takes a lot of effort for a film to have that effect on me: this one did it in just 30 minutes."
1948_1,train,neg,"Shaggy & Scooby-Doo Get a Clue. It's like watching a much-loved relative in the final throws of a degenerative illness!! Clearly the work of people with no soul, no love or respect for the original work. What in the name of all that's holy were they thinking of? It seems they were trying to go all post-modern and ironic. Instead it's just abysmal swill!! What's the point in taking up a successful franchise like 'Scooby-Doo' if you just going to flush it down the toilet? My son loves the original series - and even some of the spin-off movies - but he can't stand this drivel! And let's face it, you can't argue against the tastes of a seven year-old"
5885_10,train,pos,This movie pretty much surprised me. I didn't have very high expectations for it but I was wrong. Mary & Rhoda was very funny and well written. They didn't spend too much time rehashing the past so they weren't relying on the success of the old TV show to carry the movie. Overall it was very entertaining.<br /><br />My girlfriend commented that this could be a weekly sit-com and I think I might agree with her.
12360_10,train,pos,"I loved the the film. it beautifully analyzes Italian petty bourgeois society, how the leftists of the 70s have given up all their ideals and come to a happy arrangement which they don't want disturbed. For instance, the aging psychoanalyst who is jealous of his own son, and doesn't want to be reminded of his more radical youth.<br /><br />For a long time wanted to buy the video after having seen the movie a couple of times on the big screen and on TV, but it seems to have completely disappeared from the market, even in Italy no one in the book shops knew about the film. a great pity.<br /><br />The one sex scene, which everyone seems to go on about, does the film no harm."
11463_9,test,pos,"I originally saw this movie in a movie theater on Times Square in the late eighties. Who would have thought this film would spawn two sequels and have this cult following.Night of the Demons was like most other films that came out at the time.A group of horny teenagers find themselves trapped in some isolated local and then are killed off one at a time in various gruesome ways.Come to think of it the formula still is used and still seems to work as evidenced by Saw II that I recently saw.<br /><br />I saw Mimi Kinkade at a Fangoria convention about six years ago and she was so gentle hearted!I guess that makes her a pretty good actress if she could make a career out of playing this demon possessed woman in all these horror flicks.Anyway, I just this film again on VHS cassette and this movie still holds up.A little slow at the beginning as I remembered when I first saw it but then it quickly picks up pace. One of the eighties horror classics and worth a look!"
2315_10,train,pos,There is so much of worth in this movie that it is hard to know where to begin with praise. Let me begin by expressing my admiration for a perfect portrayal by Reese Witherspoon. That her performance stands out in the excellent cast is praise indeed. Robert Mulligan has seldom disappointed those of us who have admired his work. Every frame of The Man in the Moon is evidence of film making at its best.
4665_2,train,neg,"I really wanted to like The Pillow Book. Intriguing story, interesting character outlines, Ewan Macgregor in the utterly glorious altogether. Unfortunately, I hated every minute of it. Greenaway got so enamoured with presenting the movie uniquely, and not to the film's benefit. I won't even get into Vivian Wu's abysmal acting.<br /><br />You get distracted from the story with 4 billion teeny windows and calligraphy that rolls on the bottom of the screen displaying the lyrics of the music that's playing. It seems he lost sight of presenting the actual story and developing the plot, and got entangled with foo-foo embellishments that have nothing to do with anything. It's a bit like presenting a John Singer Sargeant portrait in a chintzy Hallmark frame that says ""GRANDMA LOVES ME!"" in big sparkly letters.<br /><br />This movie seems to be a casualty of the director auteur's ego instead of what it could have been - disturbingly and horrifyingly beautiful. In another director's hands (Jeunet? Coppola?), it could have been a masterpiece. In Greenaway's hands, it's best relegated to fine arts classes that also take themselves too seriously."
7519_1,test,neg,"If you loved the early-60's version of ""The Time Machine"", don't waste your time; as with last year's ""The Planet of the Apes"", this has been ""reimagined"", and not for the better. And, just as with ""Planet..."", its lead actor is woefully miscast and leaden; Guy Pearce, a terrific actor of great range, is all wrong for this role, giving a one-note performance that elicits zero sympathy; he's so dour and serious, and lacking in awe of the (supposedly) amazing things he sees that you don't believe for a moment that he's experiencing them. Worse yet, whose idea was it for him to resemble the love child of David Spade and Calista Flockhart?? A handsome actor, here he is sickeningly gaunt, which is, believe it or not, a major distraction. Frankly, the man looks gravely ill and is photographed cruelly. He shares absolutely NO chemistry with anyone on the screen, a direct result of a performance that is out of sync with anyone else's. Sadly, even with a proper leading man this movie doesn't stand a chance for it is fatally burdened with both a totally inept director - whole scenes go nowhere and are poorly realized - and a screenplay that is utterly inferior, scattered and at times incoherent - not for a single moment do you care about anyone in this film, for the single fact that there is NOTHING in the way of character development! In the original, you got to KNOW the Eloi, so therefore you felt for them, and felt their terror of the Morelocks; here, as the movie stresses several times, they are nothing but sheep and act accordingly. Unless you're a member of PETA, scared sheep are HARDLY the stuff of entertainment! <br /><br />Samantha Mumba does as well as possible, in her movie debut, but, like everyone else in this mess, most especially Jeremy Irons (if he's the leader of the Morelocks [who look like rejects from ""The Mummy Returns""], why then does HE look like Edgar Winter's long-lost brother?) is COMPLETELY WASTED. Also wasted was the money spent on the endless 'special' effects, which belie the $70M spent on the film; they are uniformly lackluster, obvious and unconvincing. And then there's the look of the film: poorly photographed, its art direction and sets are just ""there"" and its costumes are typical in design. There isn't an original thought or idea expressed behind or on the screen. Most of all, it isn't even fun! (The filmmakers use the now-ubiquitous Orlando Jones as ""comic relief"" but, as usual, Jones is irritating, and just HOW does his electrically-driven character survive in a world seemingly devoid of electricity?)<br /><br />All in all, this is an empty, lifeless, dull, sterile and confused affair: didn't they ALREADY REMAKE ""Planet of the Apes""??? (At least THAT had the fortune of some strong performances!) <br /><br />*SPOILER!* The final insult (beyond a head-shakingly terrible, not to mention convenient, ending)? Not only do they BARELY feature the changing dress-store figures, they make even the time machine itself an anachronistic, gaudy glass-n-chrome bore! (If ""The Sopranos"" had a time machine, THIS is exactly what it would look like.) Pathetic..."
8831_8,train,pos,"Re: Pro Jury<br /><br />Although the lead actress is STRIKINGLY beautiful, the plot stands little chance of acceptance because too many distracting details face the audience during the unfolding of the story.<br /><br />One may believe that middle-class teen-age school girls in the 1950's easily gave away their virginity without thought of marriage to 30-year-old's they barely know, but I doubt it.<br /><br />""EASILY GIVE AWAY VIRGINITY""? WHAT A SHREWD REMARK ABOUT THIS FILM. TRULY.<br /><br />One may believe that young high school teens are highly self-confident and self-assured as they interact with their elders in complex social situations, but my experience has been, more often than not, teenagers feel very awkward and act clumsy as they experiment in the adult world.<br /><br />YOU JUST AREN'T AT ALL ABLE TO SEE THE WORLD OTHER THAN THROUGH YOUR OWN EYES? THAT'S SAD.<br /><br />One may believe that a experienced medical doctor would not know the pungent oder of Stroptomycin -- the smelly fermenting byproduct of busy earth microbes -- and not detect that some lifeless bland powder is fake, but I think not. <br /><br />AND ANOTHER ""EXPERT"" OPINION DRAWN FROM EXPERIENCE. DANDY.<br /><br />One may believe that 30-something-year-old troublemakers can enter into, and hang around inside, a public school rec hall during a school social and make trouble, but I think that school socials are traditionally a protected environment and parents, chaparones and school staff would be around to prevent this.<br /><br />NOW BE A GOOD SPORT AND TELL US AT WHICH INSTITUTION YOU GREW UP.<br /><br />One final nit, throughout Hey Babu Riba the five teenage friends referred to themselves as the foursome. There is probably an explanation why the FIVE were the FOURsome, but because it was never detailed, each reference distracts from each scene.<br /><br />OF COURSE THERE'S PROBABLY AN EXPLANATION. GOOD JOB FIGURING THAT OUT! NOW I'LL BE GENEROUS AND WILL HELP YOU OUT OF YOUR MISERY: ALTHOUGH IT WAS TRANSLATED AS A GENERAL ""FOURSOME"", THE WORD ""&#269;ETVORKA"" HAS ANOTHER MEANING: IT'S A SPORTS TERM USED TO DESIGNATE A 4M OR 4W SETUP - A ROWING CREW CONSISTING OF 5 PERSONS: 4 ROWERS AND A COXSWAIN.<br /><br />This movie did not ring true for me.<br /><br />WE SHOULD ALL HEED TO YOUR COMPETENT AND PRAISEWORTHY OPINION. DUDE."
2824_3,test,neg,"This thing takes the horny teenager genre, very poorly respected to begin with, and completely flushes it down the toilet. The only people I would even consider recommending it to are teenage girls, for a ""revealing"" scene in a boys' locker room. And in the end I wouldn't make such a recommendation. To do so would be to contribute to the delinquency of a juvenile. An absolute piece of garbage with utterly no redeeming qualities."
10436_8,test,pos,"I first saw this movie when I was about 12 years old. It has been one of my favorites since... It's so perfect in all it's glory complete with awesome soundtrack, cheesy dialog, and it was both hilarious and terribly sad. The first movie I really just had a fit about at the end... I won't ruin it for you guys but boy is it a tear jerker... I just remember feeling SO sad for Gary! What a bunch of cool characters in this movie it's genius!!! They are all so great even the nerdy girl Gary doesn't like...(she had a nice little body though). I can't believe all the girls go for Rick he is such a sleaze ball with his handkerchief tied around his neck!!! ha ha ha... When watching this movie be prepared for lots of sex jokes complete with sexually transmitted diseases(almost). But a love story at heart with real problems, dealing from insecurity to life altering decisions that make you think and feel genuine sorrow for the cast. I love this movie !!! If you like Valley Girl another all time classic you will too!"
6615_1,train,neg,"Once in a while in Indian cinema there comes along a movie like Sholay that changes the way the audience perceives a good movie. And den just once in a while(hopefully) we have a RGV ki Aag that breaks all the standards and creates one of its own. A standard so low, it can never be broken. Ram Gopal varma manages to take a melting pot of talent and create a dish so stale u can smell it from a distance. To take a classic like Sholay and assassinate it is totally unforgivable and I can't believe he almost called the movie RGV ki Sholay. Although Sholay had a lot of folklore elements in it, the movie managed to build on its plot by merely defining the characters so distinctively that they lived on forever. What Aag does is take these characters and mess them up so badly u'll need a contest to pick the worst. The realism element is totally missing and what the movie ends up providing is a bunch of ""actors"" parading along in a plot less and seemingly unrelated set of events. One star for this film is a ridiculous waste of a vote. its time for RGV to wake up to the reality of his failure and conjure up another ""different"" plot that can be categorized under cinema."
