review_id,rating,review_text,review_date
11,4.0,"The Dueling Dragons were one of the best thrill rides at Islands of Adventure. Two cars go up at the same time and at times you feel as though you will run into the other car. This made it a very unique riding experience. It's a long wait for the front row, but well worth the wait. The experience from the front will have you wanting to go back again.",2006-01-29
12,1.0,"We purchased the Orlando Entertainment book which contained coupon for a free meal and movie pass good for multiple themed restaurants at Universal City Walk.We had four passes and paid the $10. parking fee. We went to Guest services to exchange the coupon for voucher to take to theatre and restaurant but were told the entire listing was a ""misprint"" and they were only offering 20% off full price.I showed the coupo,which was why we bought the book.A supervisor said the program was cancelled due to overwhelming demand.This is false advertising.We go the $10. parking fee refunded and went to Down Town Disney AMC and to Planet Hollywood where they actually honored there discount coupons.I will never spend another dime at Universal because they are frauds.",2006-04-24
13,2.0,"We took our 4 and 6 year old to Universal, knowing that it was more of an adult oriented park.. We did not realize, however, that there was only ONE ride they would enjoy, which was ET. My six year old son was so frightened by the rides that he would not sleep in his own room that night. (Something he has not done since he was 2!) My husband, who can ride any roller coaster, got sick from riding the Back to the Future Ride. The ""subtle"" insults to Disney on the rides and by the staff members not only show how unprofessional Universal is, but how threatened they must feel by a more superior theme park. Don't waste your time and money taking any child under 10 to Universal. Islands of Adventure may be better, but I am going to save my money for my Disney tickets. We will not be back!!!",2006-05-01
14,2.0,"I have to agree with the one traveler who stated it was outdated. For the price of tickets, I guess I had my expectations too high. The rides there were so-so - nothing great. The mummy is probably the best ride there. I chose to go to Universal over MGM b/c I thought it would be better, now I'm not so sure. We just weren't impressed and didn't spend a whole day there like we had planned.",2006-11-10
15,5.0,"We just got back from Universal Studios Orlando. We had a great time. Went to the New Years Eve luau at the Royal Pacific which was excellent and had really top notch food if you like asian themed and spicy. Lots of mahi-mahi in ginger based sauce, blackened ahi tuna, sushi, along with a lot of other high end buffet choices as well as all you can drink beer, wine and mai tai's. Many thanks to Mary, our waitress, for taking such good care of our group, she went out of her way to accomodate my disabled mother.  We went to IOA and Universal Studios a total of 3 days/nights. Since we stayed at the hotel we had front of the line access badges. They were well worth the extra cost of staying on site over the holiday period.  Only on the day after Christmas did we ever have to wait to go on an attraction, all other days/nights walked right on (party of 6). Average wait on the day after Christmas was 10 minutes for all but Mummy ride, and even that was only 20 minutes as opposed to regular line of 75 minutes.  The Cat in the Hat ride caught us by surprise. We were expecting a meek and mild ride but it turned out to be more like the Cat in the Hat on crack, lots of spinning and sudden turns and movement. Definitely would not want to put a small child on it without a forewarning. We almost came out of our seats, and we're all adults.  It had been 10 years since we'd been to the park and the changes are significant, it is rapidly becoming a destination vacation. Seems like a great spot for families with older children, didn't see many young kids there. We really enjoyed ourselves thoroughly. If they had one more section to add to IOA and Universal Studio, they'd be all set as a resort destination.  Staff at both parks went out of their way to help us out, one member of our party is disabled and the staff was extremely accomodating and friendly in assisting her.  I saw multiple rude guests at both the parks and the hotels who seemed to have a sense of entitlement to special treatment for unknown reasons and I saw staff at both the parks and the hotel go out of their way to accomodate even the most unreasonable demands. We were waiting for a shuttle bus to get to the Royal Pacific that had a special lift for a wheelchair when a very drunk party of 8 adults with 4 small children showed up and demanded to be taken to Pleasure Island. The driver explained to them over and over that they don't go to Disney and the 8 adults seemed to have no concept of the fact that they weren't at Disney. The driver actually let them board and called for permission to take them to Pleasure Island. The group then had the nerve to start swearing at the driver for not taking them to Pleasure Island first before dropping us off at the Royal Pacific (the bus was a Loew's hotel shuttle bus for our hotel). At the Royal Pacific, I was in line at the concierge desk when the person in front of me started screaming at the concierge about some restaurant at Citywalk not allowing children on their patio on New Years Eve and that she had made reservations from home and the concierge needed to honor them (as if the concierge was responsible for the situation). This person was incredibly rude and disruptive, I'd have called the cops if it had been me working listening to this person rant and rave. They gave this person an incredible amount of time and attention, along with free dinner for their entire party with special private seating and they were still complaining about their spaghetti dinner being ruined.  All in all, except for the disruptive guests that seemed to be lurking here and there thinking they were the kings and queens of the universe, we had a great time and would go back in a heartbeat. Citywalk was a lot of fun, with Pat O'Brien's our party's personal favorite place to hang out.",2007-01-02
16,5.0,"I'm not sure what park the people were at that are complaining about universal studios. But I have gone there every year for 10 years. Speaking of drunk people tripping over their kids, It's called CityWalk, an ADULT part of the park. Who takes their kids to a back to back night club?Anyway, If you don't want to wait in line, order your tickets online like most people do. If you don't want to wait in line at the park, stay at one of the onsite resorts. Do your research before you go and your stay will be wonderful. And park food? Oh my you can get all you can eat for 20.00 bucks. It's good food too. If you have never been to Universal, You must go!! It's the best park in the world!!",2007-01-12
17,5.0,"My fiance and 9 year old son spent Dec 20-26 in Orlando going to Universal and Islands of Adventure. I was worried it wouldnt come close to DISNEY but we had a GREAT TIME. THE MUMMY IS NOW OUR FAVORITE RIDE EVER , hit the singles line to ride quickly and as many times as you want. All the rides were great except Back to the Furure , I'd skip that. Customer service wasnt that great but the attractions were awesome. City Walk-Hard Rock, Margaritaville etc were great also.",2007-01-15
18,5.0,We visited the both parks at the end of Jan. I bought 7 day passes on the Universal website. I paid $85 per person for unlimited use of both parks. I thought that was a great deal. The lines were very short for the most part. We did visit the parks on a Sunday and the crowds were much larger then. My 4 year old went on or watched (Barney show-Animal actors)10 attractions at the park so I don't think Universal is only for adults. The Mummy is great-go as a single rider. You save so much time. The Jaws boat ride was a little scary for my little guy although he loved the Woody Woodpecker rollercoaster. I think he went on it 7 times in a row! Shrek was fun and my son really liked Jimmy Neutron. There were characters roaming around and in easy to find areas. We found all the staff member to be friendly and helpful. I would visit Universal studios again.,2007-02-08
19,4.0,I really enjoyed spending time at Universal Studio eventhough it was really busy. I really liked the MIB ride and the Mummy. My advice for people who don't mind not ridding together; use the single person line! We rode the Mummy three times before people who were on the regular line had time to ride it once. I hope that you have as much fun as I did in Universal Studio!,2007-03-30
20,1.0,"We fell for the sales pitch of eat as much as you like all day with the Universal meal deal . It was sold to us that we could eat in nearly all the restaurants (drinks not included). The reality was that it was restricted to 2 or 3 places and they were at the bottom end of the market selling mainly burgers,pizza and some inedible 'asian' food..Main courses were generally $7 - 8 dollars with deserts restricted to jelly and very average cakes. You also could not eat before 11.00 a.m. so breakfast was not included. The cost was c.$20 for one park and c. $25 for two parks plus the City Walk. We thought we would make up lost ground with the City Walk restaurants but the reality was that there was a very restricted menu with the meal deal. We didn't get any where near our $25 dollars worth and unless you want to spend all day eating burgers and pizza in huge quantities our recommendation is that you avoid the meal deal!",2007-04-22
21,1.0,"There are so many reasons to hate this park. The ""rides"" were very short and the lines very long. (We got there very early on a Friday in April.) Paying $70 per person to get into the park, makes you a second class citizen waiting in line. You can buy an ""express pass"" which allows you to jump in line. After waiting 10-20 minutes in line, we watched as ""express pass"" holders walked up and walked in ahead of us. This of course made our wait longer. We started off with the Men in Black ride, which involved using play laser guns to shoot ""rubber aliens"" sitting in garbage cans and around corners. The car you ride in spins a few times which is the really big excitement. Then the ride broke leaving us locked into our seats for about 30 minutes until the staff finally shut off the ride then came and led us out of the ride. Twister was realistic but again, very short. For each ride we went on, the exit forced you through a gift shop, which was irritating. If I want to go into the gift shop, I will. This park seems to be geared toward children but the rides are based on movies primarily from the 1970s to the early 1990s. In fairness, we were not able to get into the Terminator, Earthquake or Mummy rides/shows. I had heard those were quite good. For those, the lines were so long (35+ minutes) we did not wait. I am used to waited for rides but these were oh so not worth the effort. You will be acosted by people taking surveys for tv shows. We were stopped six times. This park promotes itself as taking people behind the scenes of movies/tv shows. In reality, it is little more than a bunch of concocted, poorly designed, cheaply conceived ride/show experiences. Why create a park like this? Universal Studios is a cynical money grab by Universal/NBC to try to wring a few more bucks out of its tired media properties. Stick with the mouse.",2007-04-29
22,1.0,"We have gone to Florida many times and had not gone to Universal Studios, so we thought that we would try it this time. Big waste of time and money.  The system they use to enter the park is slow and unorganized (it took well over an hour to actually get in the park) There were not that many rides, and of them they were lame and outdated.(the best one for me was the Jaws boat ride, and that was due to the girl that was driving the boat she put alot of effort into her job) Rides were short, lines were long. Food is a bit pricey (to be expected though), Gyros (chicken) were unexpectedly good. Liked that they had fans in some of the lines to cool you down. What they did not lack was gift shops(rides exit into them), and someone trying to sell you something by saying ""would you like to see a magic show"". They are most certainly magicians, my money disapeared and I have no idea where it is. I would not recommend this place to anyone I know (that includes my enemies), I can't believe they stay in business. I will not be back........total waste.",2007-08-28
23,2.0,There is no good place to start. Do not even think about going to the rides in Islands of Adventure. They over hype and over sell it to the point of fights breaking out in some lines. My family and I PERSONALLY witnessed a kid in line at the Spider Man ride urinating in a corner because he couldnt hold it anymore. There was absolutely NO staff in the area that could help him and no way for the family to get the kid out in time. People would not budge! The father had to physically push his way through other people waiting in line who just flat out refused to move. The posted wait time when we entered the line was 60 minutes. 104 minutes later we got on the ride. The park just failed to staff the ride properly.  It did get better at night with the Blue Man Group show. The theater was great and the show was ideal for kids! I would go back to that show in a minute!,2008-01-02
24,1.0,"I was looking forward to my day there and I took the day off and was so excited as I was taking my friend who had driven here from Georgia to spend Martin Luther King day, as that is a holiday for my friend. Arrived and after going tru the line , we rented a locker to keep our warm up suits and jackets in case the weather was colder toward the evening. TO my dismay , there were rides that were not working and shows that were close down and not working. such as back to the future--no excitement in park--no one making our day exciting---paid for something that we did not get. You should have all rides and shows up and running or let the customer know befor entering park,  Very dispointed with the day , we so looked forward to and spent only a few hours instead of the full day I had planned,  Scott Mitchell",2008-01-30
25,4.0,"I went with my friend to Universal and Islands of Adventure for 1 day. We bought an express pass since we knew we only had 1 day to do it all. The ""express"" lines seemed longer then the normal lines. I'm not sure the park keeps track of how many they sell. I wouldn't invest the extra money again. The mummy ride and MIB ride are both great.",2008-04-04
26,2.0,"We had two children with us when we visited Universal. I can say that had it been just adults it would have been a decent time but this park is just not very geared towards children. Yes, there are areas within the park that cater to little ones (though not too little, children under 5 years old would be hard pressed to find many rides they can go on) but overall having children with you won't work at this park. You are going to walk about a mile to get from the parking structures to the actual park entrance. They advertise motorized walkways but many were not on during the 3 days we went there. Then you are going to stand in ride for about an hour to go one a 90 second ride (hope the kids are patient to stand outside waiting for the adults since they cannot go on most of the rides). Also, DO NOT FALL FOR THE MEAL PASS. You pay $20.00 for an all you can eat for one day pass but there is only 4 places in the place that accept the pass and it takes about 40 minutes to get through the line to get food. Then the people that work at the places where you eat are nasty about portions and won't let you have enough to feed yourself and insist that you go through the 40 minute line again to get a (free) dessert to go with your dinner. All in all, you may have time and get a chance to eat about $10 worth of food and that is if you are willing to spend 90 minutes in a restaurant for each meal -which cuts time out of the day for standing in line at rides. You have to go through the 40 minute line just to get a free refill on your soda! NOT WORTH IT! If you are a family with kids go to Disney's Magic Kingdom. We were there for a 4 hour evening event (Pirate and Princess Party) and went on the same number of rides that we go to go on during 3 days at Universal. Plus, Disney had rides that little ones could go on. Skip Universal unless it is a really slow time of year. The staff is rude and can't muster a smile to save their lives and the lines are long. The food pass is a rip off.",2008-04-14
27,2.0,I have just come back Universal Studios. I love amusment parks this was my 7th time going since i was a little kid and now I am 18 and just graduated High School. Out of all those times I had never had a problem with Universal Studios till now. There is drunk people everywhere and random people coming up to you asking for you express pass eventhough it is yours and you have paid for it. They still have the never to say hey i want your pass give it to me and if you don't give it to them they call you a white [--]..It is not a family place anymore definetly not for kids i am 18 and this bothered me.,2008-06-02
28,5.0,"My grandson, sister and her 2 granddaughters spent 4 days visiting Universal Studios & Adventure Island in July. We had a wonderful time and I have some great tips for those planning this same trip. There were 5 of us and we flew so my first tip is this: 1. Do not take a shuttle from the airport to your hotel until you check the price of a taxi. The shuttles charge indivdually and after waiting 45 minutes for one to arrive, we got a refund and got a taxi for much less. They are side by side so it is easy to do. 2.Do not take a child uner 48"" tall. Most of the rides require that they be that tall. 3. Buy their EXPRESS pass. It is expensive but totally worth it especially if they are crowded. Plan on approximately $90. per day per person for these. We were there 3 full days so that is an extra $300. per person. 4.Go into the parks early and head straigt to the most popular rides (The Hulk, The Simpsons, Dueling Dragons, The Mummy, etc.) then you can enjoy the others and possible get on these a second time. 5. It is quite a walk from one park to the other so spend the entire day in one and the next in the other. Our last day we spent 1/2 in one and 1/2 in the other. 6. Take nothing larger than a fanny pack. If you carry a back pack or larger, you will have to check them into lockers before many of the rides and it is VERY time consuming...but free. 7.Wear shoes such as CROC's...and something that will dry (nylon, etc) because on several rides, you will get SOAKING WET. Take a plastic bag in your fanny pack and put your cell phone for the rides with water. 8. Lastly, the Doubletree Inn on Major Blvd. and the Holiday Inn attached to TGIF's are just across the street from the main entrance and you can flag a taxi for only $5.00 each way and that includes a tip. If you wait and sometimes it will be a long wait for the shuttle, you will have a 15 to 20 minute ride stopping at several hotels.Taxi's come by frequently and you can flag one easily. If you fly Delta they will give you a big discount on the room at Doubletree.Ask when you make reservations for your flight. I hope these will help you and if you will be planning a trip in the future, they will definitly help so print them out.....and have a ball, we sure did. I am 68 and rode every ride in both parks and all of the roller coasters 3 or 4 times each!",2008-09-04
29,2.0,"So - After spending (1) day in Island of Adventure, and (1) day in Universal Studios:  11/25/08: Island Of Adventures: Good time. A few good Roller Coasters. Some of the rides need to be updated, but over all we had a good time.  11/26/08: Universal Studios: Terrible. The ride are SO dated... ET is still a ride, but the people I went with (ages 18 to 13) didn't know who that was. MIB: 3rd rate, compared to rides that are out there where you 'shoot things'. ""Mummy's"" OK, but only because ALL the other rides were so out-dated/boring.  Also: we were a group of 6. During the day we were told by staff things like ""You are to many, and you are messing up the order"" ""You need to split up, to make it easier on us"". We were also YELLED AT twice. You know those pictures they take of you, and then try to sell you? Well, I take a snap shot of them - I do this all the time at Disney. They are pictures of me... In Disney - NO ONE has ever said anything to me. At Universal - one guy YELLED at me.  Universal isn't worth the $$$ to spend - traveling all that way to Florida to go to a 6-Flags type park isn't worth it. Spend the extra $$ In Disney, or some other park.  I welcome a feed back from Universal, dont expect one.",2008-11-26
30,5.0,"We just got back from USO and IOA and it was great. (12/13-12/15) It was a ghost town! Most lines were only a 5 min wait, with the more popular rides (the Mummy, Shrek, The Simpsons) getting to be 30 mins or so. Stayed onsite so express pass :) With it we walked, and mean just walked onto all the attractions expect the simposons. We even rode the mummy a few times in a row by cutting through the child swap and flashing the hotel key.  I need to comment on the previous post however. The Meal Deal clearly states that it is for Burgers, Pizza, Drinks, ect. If you didnt read the pamphlet dont take it out on the park.  They had the Macys THanksgiving Parade there as well. It wasnt worth the hype, a few ballons and ballon floats but most of them were from parades in the past (like in the 80's) other then that the park used their own floats (the Mystery Machine) to fill in the parade.  All in all the park was great and Ill keep going back. Remember its not Disney so stop trying to compare them they are totaly different parks with different goals. So if your a disney person go there dont knock Universal for being different!",2008-12-16
31,5.0,"My wife and I bought the two day two park ticket and decided to dedicate one day each to Universal Studios and Islands of Adventure. So first about the rides, as soon as you enter go experience the Simpsons!!! It is the best ride in Universal, period! If you are going clockwise, it is towards the end so go counter clockwise and do it first. The second best ride is the Mummy which is also a lot of fun for all ages. We had a lot of fun the one day we were there. Its a nice relaxing experience where you can chill out, eat, have fun etc.  Secondly, I dont think adults need to buy a two day pass. You should buy a 1 day two park express plus ticket -- trust me its worth it. We didnt buy an express ticket for our first day since it was the day of Christmas and the lines were not that awfully long. However for the next day for IoA we did buy an express ticket and it was awesome! If i were to do it again I can knock both the parks out in 1 day with an express plus ticket which makes you zip through lines and you have to wait a max of 15 minutes. It is worth every penny spent. All in all it was a great experience.",2008-12-28
32,4.0,I had some time with my friends last spring break it was awsome. The Studios change completelly for good.  Can't wait to go back again.,2009-02-26
33,4.0,"My friends and I only visited Universal Studios, not Islands of Adventure.  Our day started out badly, as our tickets (purchased online via Ticketmaster) would not scan to allow us into the park. We had to wait in a customer service line for at least 20 minutes, as they only had 2 representatives working, only to be told that there was nothing wrong with our tickets. This was very irritating, and a complete waste of our time.  Once we did enter the park, however, we had a really fun time. All of the lines were short. The longest we waited was 20 minutes for our second trip on The Simpsons, which is an excellent ride. I am a HUGE Simpsons nerd, but my friends aren't, and even they enjoyed the ride as well.  We also really enjoyed The Mummy, which is a dark coaster and a lot of fun. However, the lockers in which we had to put our items to ride would not open after we finished riding and we had to get an attendant to open our things for us. Annoying.  Additionally, we liked Jaws, I Love Lucy, Shrek 4D, and Terminator 3D. The area has really built itself up since the last time I was there, and I love the City Walk area as well. Despite some hiccups, it was a fun day, and I would definitely go back, given the chance.",2009-03-25
34,3.0,"we were so happy to be back at universal after 13yrs, to show our youngest son the wonderful places his brothers had been to. What a shock we had. we are both now disabled, and need crutches to get around, and standing in long queues is very painful for us. but, unlike DISNEY, who where faultless, universal DO not recognise diabilitys unless you are in a wheelchair! we got no help, only told our 10 yr old child would have 2 queue for us, then when he got to the front, 20 or 40 minutes LATER, we could then join him. as this was no damn help what so ever, we ended up hardly going on any rides that first day, then the next time, my hubby stayed at hotel, and my son and i had 2 buy express tickets, at an extra expence of $21 each ! we had paid for 14 day tickets, because we so enjoyed this last time, but we will NEVER waste our time and money AGAIN. be ashamed of your small mindedness, UNIVERSAL",2009-05-04
35,5.0,"We loved Universal! We got a great deal on a 7-day pass to Universal, Islands of Adventure and Wet n Wild waterpark for $99 per person. We went to each part twice. Our boys were five years old and there was so much for them to do. We highly recommend it!",2009-05-07
36,5.0,"We took our grand kids (teenagers) to Universal Studios as a side trip to the Magic Kingdom. Our grandkids both agreed that Universal was far better than Disney. Attraction wait lines were minimal and covered (no waiting in the sun). They fell in love with the Mummy and rode it several times. Disaster was amazing (great special effects), and all the shows were great! Universal has surpassed Disney as far as we're concerned. Not only in entertainment but also in cleanliness and food quality. We come to Orlando 3-4 times a year and Universal will be at the top of 'to do' list.",2009-06-18
